brand,average_price
Fila Work,39.99
Filament,32.82666666666667
Filson,181.66
Fire Dex,516.7216666666667
Firefly,79.99
Fireside Casuals,23.814999999999998
FitFlop.,59.49
Fitflop,108.70176470588235
Five Ten,90.83333333333333
Flojos,33.64666666666667
Florsheim,71.41571428571429
FootJoy,336.848
Forever Collectible,20.99
Forever Collectibles,41.06999999999999
Forum Novelties,31.736428571428572
Fossa Apparel,77.62222222222222
Foundry,19.49
Fox Outdoor,10.254999999999999
Fox Outdoor Products,41.94
Frabill,158.9725
FrenchChimp,16.502499999999998
Frontier Natural Foods,45.895
Fruit of the Loom,28.594
Frye,152.1357142857143
Fuel,10.98
Fun World,29.40642857142857
Funkier,60.825
Funtasma,70.30333333333334
Fuse Lenses,49.90808219178082
G ANTINI,28.46
G-Star Raw,138.72
GANESHA HANDICRAFT,43.333333333333336
GANESHA HANDICRAFTS,35.99666666666667
GBX,45.19199999999999
GENERIC SURPLUS,77.745
GIORGIO ARMANI,156.15
GLOVEWORKS,76.08500000000001
GOGO,26.725
GOLD BROTHERS,247.975
GOLDTOE,39.495
GUESS,39.99
Game Time,11.47
Gameday Boots,227.05439024390242
"Ganesha Handicraft """"",38.75
Gargoyles,76.76
Gearonic,37.49
Gem Stone King,167.495
Generic,20.360000000000003
Generic / Unbranded,9.648
Generic Surplus,49.16
Genuine Dickies,47.064
Genuine Grip,70.453
George Strait,22.656666666666666
Georgia Boot,163.86736842105265
Geox,131.274375
Geronimo,11.9
Gertex,25.471666666666664
Gianfranco Ferre,112.495
Gianvito Rossi,456.0
Gifts,19.99
Gifts Infinity,23.55
Giorgio Brutini,56.92100000000001
Gitzo,62.66
Givenchy,148.88
Glasses by me,31.7
Global Glove,284.49800000000005
Gola,26.99
Gola Classics,69.95
Gold Toe,26.974
Golden Retriever Footwear,89.99
Gootium,45.99333333333334
Gordon Rush,201.99428571428572
Gorila,249.495
Gourmet,51.42
Grabbers,42.99
Gravity Defyer,89.99
Great Northern,16.99
Grenade,45.95
Grendene,21.445
Gucci,324.21125
Guess,41.795
Guide Gear,49.98499999999999
Guinness,25.610000000000003
H.S. Trask,116.99000000000001
HABIT,17.97
HAO_BO,22.435
HAYABUSA,59.99
HLC,74.27000000000001
HOLLOWAY,16.986666666666665
HOOey,253.5
HUDSON,36.5
HUF,36.352
HUGO BOSS,203.565
Habitattrade,9.98
Haggar,41.196666666666665
"Halloween Resource Center, Inc.",37.075
Handmade,50.36125
"Handmade""""",44.525454545454544
Handmadecraft,95.62
Hanes,15.09
Hang Ten,39.99
Hanro,11.5
Hao-bo,37.99
Happy Socks,12.0
Harley-Davidson,46.71666666666667
Hats & Caps Shop,27.5
Hawaiian Classics,27.495
Hayward,9.031666666666666
Hazrati,349.10375
Healing Hands,32.995
Heaton,41.117999999999995
Helly Hansen,78.73045454545455
Herman Survivors,69.78
Hey Dude,52.49
Hi-Tec,54.74888888888889
HideAways by L.B. Evans,26.3425
HighWalkers,12.95
HindaWi,41.215
Hippy Tree,74.72
Hogan by Tod's,164.64666666666668
Hoka,149.99
Hoka One One,122.37666666666667
Holdup Suspender Company Inc,30.21
Homemade Brand,15.0
Honeywell,37.244
Hospeco,71.25
Huf,57.335
Hugo Boss,199.75
Hugo by Hugo Boss,138.85
Hulkamania,18.95
Hunter,153.99
Hush Puppies,72.4525
IB EVA Slippers,5.0
IMPACTO,35.574
INBLUE,9.495
INC,22.291249999999998
INDEPENDENT,14.485
IRON AGE,118.4175
ISOTONER,21.0
Iceblink,198.0
Icebreaker,89.39
Icebug,129.97
Icon,245.0
Idakoos,27.365000000000002
In Season Jewelry,24.293333333333333
Incharacter,47.69
Inked Creatively,42.49
Interceptor,36.17
Invicta,502.6336363636364
Iron Fist,10.0
Island Surf,29.98
Isotoner,24.406666666666666
Itasca,75.19
Izod,19.886666666666667
J'colour,10.89
J's Awake,12.99
J. Lindeberg,74.245
J. Renee,18.99
J.D. Fisk,229.0
J75 by Jump,66.194
JACK SPADE,345.28
JAMBU,81.495
JD Fisk,122.31
JORDAN,144.975
JUSTIN ORIGINAL WORKBOOTS,147.03071428571428
J`S AWAKE,37.95
Jaald,68.92
Jaco,44.95
Jacques Lemans,174.84235294117647
Jefferies Socks,11.025
Jellan,38.46666666666666
Jerzees,19.6125
Jewelry Adviser Clasp Style Charms,43.4775
Jewelry Adviser Figurine,30.534999999999997
Jewelry Adviser Gifts,93.0290909090909
Jewelry Adviser Link Bracelets,110.145
Jewelry Adviser Nfl Gifts,170.76500000000001
Jewelry Adviser Nfl Watches,114.45
Jewelry Adviser rings,234.16166666666666
Jewelryweb,161.54375
Jobst,71.46428571428571
Joes,82.8
John Deere,99.91
John Varvatos,77.99333333333333
Johnston & Murphy,97.14166666666665
Jordan,124.55908536585365
Joseph Abboud,39.98
Josmo,45.94
JumbosCreations,189.48
Just Keep Livin,22.126666666666665
JustOneStyle,28.21
Justin,164.17239130434783
Justin Boots,171.78878048780487
K- Swiss,70.0
K-Swiss,55.3625
K-swiss,56.5375
K. Bell,8.99
K2,199.95
KATAHDIN GEAR,210.99
KAZ HOME ENVIRONMENT,29.98
KC CAPS,11.99
KENNETH COLE NY,10.55
Kamik,69.9225
Kathmandu,114.9875
Kaukko,31.7625
Keen,106.5323076923077
Kenetrek,235.36999999999998
Kenneth Cole,54.97625
Kenneth Cole NY,101.31837209302327
Kenneth Cole New Yor,120.0
Kenneth Cole New York,123.0
Kenneth Cole Reaction,69.19833333333332
Kenneth Cole Unlisted,41.2475
Kenox,39.233333333333334
Keuka SureGrip,66.221
Key Apparel,37.0
Keystone,58.64
Kimberly-Clark,113.97
Kinco,128.6436507936508
Kirkland Signature,12.95
Kiss Ties,7.270999999999999
Knit Comfort,6.99
Koolertron,87.2025
Korkers,96.89500000000001
Ky Co,17.955
Kylin Express,21.56
L.B. Evans,45.97166666666667
LESSIE,34.24
LEVI STRAUSS & CO.,20.0
LOUIS M GERSON,10.44
La Sportiva,119.25999999999999
LaCrosse,130.37545454545455
LaCrosse Footwear,141.026
Laco/1925,335.47499999999997
Lacoste,80.34545454545454
Lakai,51.745
Lamo,38.99
Lands' End,20.194
